# t x y z vx vy vz phi theta gamma phid thetad gammad
1.703786191536743155e+00 1.068345403762011969e+01 2.337171314535962718e+00 1.675694781793638954e+00 2.787170759558275090e+00 3.908748495945771229e+00 -2.475843486393219273e+00 -4.305089235552809757e-01 -9.047930269425742411e-01 8.436478665071047089e+01 1.656009837520004413e-01 -3.642286474242320549e-01 4.957696970867252162e+01
1.707126948775050446e+00 1.069273470174527318e+01 2.350250645571080987e+00 1.667389529015727234e+00 2.768840733757204742e+00 3.921404571419095486e+00 -2.496238215630221635e+00 -4.299468036901479828e-01 -9.060082160667006779e-01 8.453041737540264933e+01 1.709267051967325868e-01 -3.632613534559369084e-01 4.958062915595893116e+01
1.710467706013357736e+00 1.070195400183308188e+01 2.363372192489320511e+00 1.659016105653996931e+00 2.750434168792220913e+00 3.934021621018486847e+00 -2.516654824127136703e+00 -4.293668358390491102e-01 -9.072201388096977626e-01 8.469606037827777811e+01 1.762867279610641491e-01 -3.622724799262085904e-01 4.958432083649095290e+01
1.713808463251665026e+00 1.071111168231855082e+01 2.376535823746824594e+00 1.650574439804208371e+00 2.731951146016806664e+00 3.946598946865320645e+00 -2.537092599418492522e+00 -4.287688990813938172e-01 -9.084287156112089701e-01 8.486171577199242222e+01 1.816844470097701281e-01 -3.612574388572338813e-01 4.958804741877717248e+01
1.717149220489972317e+00 1.072020748792119704e+01 2.389741405481375036e+00 1.642064461948605780e+00 2.713391754421766056e+00 3.959135858934229368e+00 -2.557550825230250791e+00 -4.281528652996318685e-01 -9.096338506716927785e-01 8.502738367486043103e+01 1.871207364280048080e-01 -3.602111795630162372e-01 4.959180958837275455e+01
1.720489977728279607e+00 1.072924116367080671e+01 2.402988801538803898e+00 1.633486104968904673e+00 2.694756090800971116e+00 3.971631675146196638e+00 -2.578028781339248177e+00 -4.275186078542281831e-01 -9.108354312611338655e-01 8.519306420401213131e+01 1.925938422115649473e-01 -3.591287021071872254e-01 4.959560595343285883e+01
1.723830734966586897e+00 1.073821245493394194e+01 2.416277873499593110e+00 1.624839304159556352e+00 2.676044260031267275e+00 3.984085721387593981e+00 -2.598525743551920009e+00 -4.268660101677311802e-01 -9.120333287331749972e-01 8.535875746859250057e+01 1.980995426866465348e-01 -3.580055561612491277e-01 4.959943316173662708e+01
1.727171492204894188e+00 1.074712110744152405e+01 2.429608480705420348e+00 1.616123997240859866e+00 2.657256375427367256e+00 3.996497331462073088e+00 -2.619040983818755386e+00 -4.261949733509260985e-01 -9.132274011104623002e-01 8.552446356368554348e+01 2.036315559788484664e-01 -3.568382749696129563e-01 4.960328621429628271e+01
1.730512249443201478e+00 1.075596686731766027e+01 2.442980480285450895e+00 1.607340124371458234e+00 2.638392559125647185e+00 4.008865846987802684e+00 -2.639573770487225080e+00 -4.255054221152360650e-01 -9.144174969502836259e-01 8.569018256556900326e+01 2.091821491922145615e-01 -3.556247016716990728e-01 4.960715894088405520e+01
1.733853006681508768e+00 1.076474948110973884e+01 2.456393727182216935e+00 1.598487628159771745e+00 2.619452942448371680e+00 4.021190617256888089e+00 -2.660123368682186129e+00 -4.247973084016949397e-01 -9.156034600753765185e-01 8.585591452875914342e+01 2.147428841949946265e-01 -3.543641769716178724e-01 4.961104458682747520e+01
1.737193763919816059e+00 1.077346869581963595e+01 2.469848074176990149e+00 1.589566453673980195e+00 2.600437666202183973e+00 4.033470999076611996e+00 -2.680689040790343203e+00 -4.240706123978701392e-01 -9.167851346750839348e-01 8.602165948511732552e+01 2.203054220713013545e-01 -3.530575718116693573e-01 4.961493644981575102e+01
1.740534521158123349e+00 1.078212425893575777e+01 2.483343371914624953e+00 1.580576548450256302e+00 2.581346880871437488e+00 4.045706356613107957e+00 -2.701270047015418285e+00 -4.233253408846998078e-01 -9.179623702540893326e-01 8.618741744507619273e+01 2.258623035859688433e-01 -3.517071647524099842e-01 4.961882850123596711e+01
1.743875278396430639e+00 1.079071591846551215e+01 2.496879468927909240e+00 1.571517862499082652e+00 2.562180746677405363e+00 4.057896061257161513e+00 -2.721865645964197444e+00 -4.225615231273434635e-01 -9.191350259316181104e-01 8.635318840082688041e+01 2.314076267783339302e-01 -3.503163795327143282e-01 4.962271592906235185e+01
1.747216035634737930e+00 1.079924342296772721e+01 2.510456211661527881e+00 1.562390348309617760e+00 2.542939433487556133e+00 4.070039491529177766e+00 -2.742475095221132975e+00 -4.217792047701273139e-01 -9.203029736696227703e-01 8.651897233111172625e+01 2.369375545352480905e-01 -3.488894121800142356e-01 4.962659554820994146e+01
1.750556792873045220e+00 1.080770652158451384e+01 2.524073444495794849e+00 1.553193960852218725e+00 2.523623120573593059e+00 4.082136033036142031e+00 -2.763097651870873417e+00 -4.209784403908747863e-01 -9.214661001254287331e-01 8.668476920710857314e+01 2.424506033757856671e-01 -3.474307876858609423e-01 4.963046603854200356e+01
1.753897550111352510e+00 1.081610496407208011e+01 2.537731009770337831e+00 1.543928657579355823e+00 2.504231996231454538e+00 4.094185078488119522e+00 -2.783732572933733440e+00 -4.201592854952909128e-01 -9.226243069699223698e-01 8.685057899878930243e+01 2.479476877327012330e-01 -3.459448926339080965e-01 4.963432798885704500e+01
